,missed sales 0,missed sales 1,missed sales 2,missed sales 3,missed sales 4,missed sales 5,missed sales 6,missed sales 7,missed sales 8,missed sales 9
322,18,18,8,15,6,8,8,15,20,20
323,18,18,8,15,6,8,8,15,20,20
324,18,18,8,15,6,8,8,15,21,20
325,18,18,8,15,6,8,8,15,21,20
326,18,18,8,15,6,8,8,15,21,20
327,18,18,8,15,6,8,8,15,21,20
328,18,18,8,15,6,8,8,15,21,20
329,18,18,8,15,6,8,8,15,21,20
330,18,18,8,15,6,8,9,15,21,20
331,18,18,8,15,6,8,9,15,21,20
332,18,18,8,15,6,8,9,15,21,20
333,18,18,8,15,6,8,9,15,21,20
334,18,18,8,15,6,8,9,15,21,20
335,18,18,8,15,6,8,9,15,21,20
336,18,18,8,15,6,8,9,15,21,20
337,18,18,8,15,6,8,9,15,21,20
338,18,18,8,15,6,8,9,15,21,20
339,18,18,8,15,6,8,9,15,21,20
340,18,18,8,15,6,8,9,15,21,20
341,18,18,8,15,6,8,9,15,21,20
342,18,18,8,15,6,8,9,15,21,20
343,18,18,8,15,6,8,9,16,21,20
344,18,18,8,15,6,8,9,16,21,20
345,18,18,8,15,6,8,9,16,21,20
346,18,18,8,15,6,8,9,16,21,20
347,18,18,8,15,6,8,9,16,21,20
348,18,18,8,15,6,8,9,16,21,20
349,18,18,8,15,6,8,9,16,21,21
350,18,18,8,15,6,8,9,17,21,21
351,19,18,8,15,6,8,9,17,21,21
352,19,18,8,15,6,8,9,17,21,21
353,19,18,8,15,6,8,9,17,21,21
354,19,18,8,16,6,8,9,17,21,22
355,19,18,8,16,6,8,9,17,21,22
356,19,18,8,16,6,8,9,17,21,22
357,19,18,8,17,6,8,9,17,21,22
358,19,18,8,17,6,8,9,17,21,22
359,19,18,8,17,6,8,9,17,21,22
360,19,18,8,17,6,8,9,17,21,22
361,19,18,8,17,6,9,9,17,21,22
362,19,18,8,17,6,9,9,17,21,22
363,19,18,8,17,6,9,9,17,21,22
364,20,18,8,17,6,9,9,17,21,22
365,20,18,8,17,6,10,9,17,21,22
366,20,18,8,17,6,10,9,17,21,22
367,20,18,8,17,6,10,9,17,21,22
368,20,18,8,17,6,10,9,17,21,22
369,20,18,8,17,6,10,9,17,21,22
370,20,18,8,17,6,10,9,17,21,22
371,20,18,8,17,6,10,9,17,21,22
372,20,18,8,17,6,10,9,17,21,22
373,20,18,8,17,6,10,9,17,21,22
374,20,18,9,17,6,10,9,17,21,22
375,20,18,9,17,6,10,9,17,21,22
376,20,18,9,17,6,10,9,17,21,22
377,20,19,10,17,6,10,9,17,21,22
378,20,20,10,17,6,10,9,17,21,22
379,20,20,10,17,6,10,9,17,21,22
380,20,20,10,17,6,10,9,17,21,22
381,20,20,10,17,6,10,9,17,21,22
382,20,20,10,17,6,10,9,17,21,22
383,20,20,10,17,6,10,9,17,21,22
384,20,20,10,17,6,10,9,17,21,22
385,20,20,10,17,6,10,9,17,21,22
386,20,20,10,17,6,10,9,17,21,22
387,20,20,10,17,6,10,9,17,21,22
388,20,20,10,17,7,10,9,17,21,22
389,20,20,10,17,7,10,9,17,21,22
390,20,20,10,17,7,10,9,17,21,22
391,20,20,10,17,8,10,9,17,21,22
392,20,20,10,17,8,10,9,17,21,22
393,20,20,10,17,8,10,9,17,21,22
394,20,20,10,17,8,10,9,17,21,22
395,20,20,10,17,8,10,9,17,21,22
396,20,20,10,17,8,10,9,17,21,22
397,20,20,10,17,8,10,9,17,21,22
398,20,20,10,17,8,10,9,17,21,22
399,20,20,10,17,8,10,9,17,21,22
400,20,20,10,17,8,10,9,17,21,22
401,20,20,10,17,8,10,9,17,21,22
402,20,20,10,17,8,10,9,17,21,22
403,20,20,10,17,8,10,9,17,21,22
404,20,20,10,17,8,10,9,17,21,22
405,20,20,10,17,8,10,9,17,21,22
406,20,20,10,17,8,10,9,17,21,22
407,20,20,10,17,8,10,9,17,21,22
408,20,20,10,17,8,10,9,17,21,22
409,20,20,10,17,8,10,9,17,21,22
410,20,20,10,17,8,10,10,17,21,22
411,20,20,10,17,8,10,11,17,21,22
412,20,20,10,17,8,10,11,17,21,22
413,20,20,10,17,8,10,11,17,21,22
414,20,20,10,17,8,10,11,17,21,22
415,20,20,10,17,8,10,11,17,21,22
416,20,20,10,17,8,10,11,17,22,22
417,20,20,10,18,8,10,11,17,22,22
418,20,20,10,18,8,10,11,17,23,22
419,20,20,10,18,8,10,11,18,23,23
420,20,20,10,19,8,10,11,19,23,23
421,20,20,10,19,8,10,11,19,23,23
422,20,20,10,19,8,10,11,19,24,23
423,20,20,10,19,8,10,12,19,24,23
424,20,20,10,19,8,10,12,19,25,23
425,20,20,10,19,8,10,12,19,25,23
426,20,20,10,19,8,10,12,19,25,23
427,20,20,10,19,8,10,12,19,25,24
428,20,20,10,19,8,10,12,19,25,24
429,20,20,10,19,8,10,12,19,25,24
430,20,20,10,19,8,11,12,19,25,24
431,20,20,10,19,8,11,12,19,25,24
432,20,20,11,19,8,11,12,19,25,24
433,21,20,11,19,8,11,12,19,25,24
434,22,20,11,19,8,11,12,19,25,24
435,22,20,11,19,8,12,12,19,25,24
436,22,20,11,19,8,12,12,19,25,24
437,22,20,11,19,8,12,12,19,25,24
438,22,20,11,19,8,12,12,19,25,24
439,22,20,11,19,8,12,12,19,25,24
440,22,21,11,19,8,12,12,19,25,24
441,22,21,12,19,8,12,12,19,25,24
442,22,21,12,19,8,12,12,19,25,24
443,22,21,12,19,8,12,12,19,25,24
444,22,22,12,19,8,12,12,19,25,24
445,22,22,12,19,8,12,12,19,25,24
446,22,22,12,19,8,12,12,19,25,24
447,22,23,12,19,8,12,12,19,25,24
448,22,23,12,19,8,12,12,19,25,24
449,22,23,12,19,8,12,12,19,25,24
450,22,23,12,19,9,12,12,19,25,24
451,22,23,12,19,9,12,12,19,25,24
452,22,23,12,19,10,12,12,19,25,24
453,22,23,12,19,10,12,12,19,25,24
454,22,23,12,19,10,12,12,19,25,24
455,22,23,12,19,10,12,12,19,25,24
456,22,23,12,19,10,12,12,19,25,24
457,22,23,12,19,10,12,12,19,25,24
458,22,23,12,19,10,12,12,19,25,24
459,22,23,12,19,10,12,12,19,25,24
460,22,23,12,19,10,12,12,19,25,24
461,22,23,12,19,10,12,12,19,25,24
462,22,23,12,19,10,12,12,19,25,24
463,22,23,12,19,10,12,12,19,25,24
464,22,23,12,19,10,12,12,19,25,24
465,22,23,12,19,10,12,12,19,25,24
466,22,23,12,19,10,12,12,19,25,24
467,22,23,12,19,10,12,12,19,25,24
468,22,23,12,19,10,12,12,19,25,24
469,22,23,12,19,10,12,12,19,25,24
470,22,23,12,19,10,12,12,19,25,24
471,22,23,12,19,10,12,12,19,25,24
472,22,23,12,19,10,12,12,19,25,24
473,22,23,12,19,10,12,12,19,25,24
474,22,23,12,19,10,12,12,19,25,24
475,22,23,12,19,10,12,12,19,25,24
476,22,23,12,19,10,12,12,19,25,24
477,22,23,12,19,10,12,12,19,25,24
478,22,23,12,19,10,12,12,19,25,24
479,22,23,12,19,10,12,12,19,25,24
480,22,23,12,19,10,12,12,19,25,24
481,22,23,12,19,10,12,12,19,25,24
482,22,23,12,19,10,12,12,19,25,24
483,22,23,12,19,10,12,12,19,25,24
484,22,23,12,19,10,12,12,19,25,24
485,22,23,12,19,10,12,12,19,25,24
486,22,23,12,19,10,12,12,19,25,24
487,22,23,12,19,10,12,12,19,25,24
488,22,23,12,19,10,12,12,19,25,24
489,22,23,12,19,10,12,12,19,25,24
490,22,23,13,19,10,12,12,19,25,24
491,22,23,13,19,10,12,12,19,25,24
492,22,23,13,19,10,12,12,19,25,24
493,22,23,13,19,10,12,12,19,25,24
494,23,23,13,19,10,12,12,19,25,24
495,23,23,13,19,10,12,12,19,26,24
496,24,23,14,19,11,13,13,19,26,24
497,24,23,14,19,11,13,14,19,26,24
498,24,23,14,19,12,14,14,19,27,25
499,24,24,14,20,12,14,14,20,27,25
500,24,24,14,20,12,14,14,20,27,25
501,24,24,14,20,12,14,14,20,27,25
502,24,24,14,20,12,14,14,20,27,25
503,24,24,14,20,12,14,14,20,27,25
504,24,24,14,20,12,14,14,20,27,25
505,24,24,14,20,12,14,14,20,27,25
506,24,24,14,20,12,14,14,20,27,25
507,24,24,14,20,12,14,14,20,27,25
508,24,24,14,20,12,14,14,20,27,25
509,24,24,14,20,12,14,14,20,27,25
510,24,24,14,20,12,14,14,20,27,25
511,24,24,14,20,12,14,14,20,27,25
512,24,24,14,20,12,14,14,20,27,25
513,24,24,14,20,12,14,14,20,27,25
514,24,24,14,20,12,14,14,20,27,25
515,24,24,14,20,12,14,14,20,27,25
516,24,24,14,20,12,14,14,20,27,25
517,24,24,14,20,12,14,14,20,27,25
518,24,24,14,20,12,14,14,20,27,25
519,24,24,14,20,12,14,14,20,27,25
520,24,24,14,20,12,14,14,20,27,25
521,24,24,14,20,12,14,14,20,27,25
522,24,24,14,20,12,14,14,20,27,25
523,24,24,14,20,12,14,14,20,27,25
524,24,24,14,20,12,14,14,20,27,25
525,24,24,14,20,12,14,14,20,27,25
526,24,24,14,20,12,14,14,20,27,25
527,24,24,14,20,12,14,14,20,27,25
528,24,24,14,20,12,14,14,20,27,25
529,24,24,14,20,12,14,14,20,27,25
530,24,24,14,20,12,14,14,20,27,25
531,24,24,14,20,12,14,14,20,27,25
532,24,24,14,20,12,14,14,20,27,25
533,24,24,14,20,12,14,14,20,27,25
534,24,24,14,20,12,14,14,20,27,25
535,24,24,14,20,12,14,14,20,27,25
536,24,24,14,20,12,14,14,20,27,25
537,24,24,14,20,12,14,14,20,27,25
538,24,24,14,20,12,14,14,20,27,25
539,24,24,14,20,12,14,14,20,27,25
540,24,24,14,20,12,14,14,20,27,25
541,24,24,14,20,12,14,14,20,27,25
